SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 115948700
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 29400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6069800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 172434300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 132382100
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 163614300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 5962200
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 166224600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 134491300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 163641500
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 995200
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 431400
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 448500
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 591500
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 53085800
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 54374600
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 55248200
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 56756600
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 63976000
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 44500
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 119344900
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 29300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6183800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 168598000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 140056300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 196817800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6615100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 170312400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 135246400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 164749200
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 817900
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 565800
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 431600
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 589500
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 56279600
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 53486800
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 56480700
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 53983600
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 60662400
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 29300
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 120804000
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 29400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6252800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 166017500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 137712400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 165674800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 5934700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 165608200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 134195800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 171489900
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 857400
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 464200
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 471600
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 655900
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 54208400
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 54795600
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 58048300
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 55942100
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 60584900
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 33400
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 119072700
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 36900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6055500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 174820800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 137205600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 159305700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6477700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 164747700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 132693600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 161170700
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 882100
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 415300
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 412500
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 593500
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 52975400
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 53102600
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 54271400
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 53626700
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 60397900
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 57200
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 117587400
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 45700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6262300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 180515300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 132816200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 159680700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6846400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 163511700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 131743600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 158830200
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 874600
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 443900
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 418000
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 591100
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 54811900
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 52575300
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 53990600
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 54739200
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 59698700
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 43300
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 119943800
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 34000
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6068100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 174807500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 133978700
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 161134800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6160800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 164572600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 133126500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 161501500
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 804700
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 428100
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 427700
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 595200
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 53105500
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 52870900
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 55312800
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 53274400
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 58222600
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 45600
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 120591300
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 45900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 5982500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 174886100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 134881300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 162007100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6974100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 165449700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 133087900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 160655100
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 921800
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 463100
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 423600
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 594400
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 74264600
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 52876100
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 54056700
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 54829100
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 59641100
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 41800
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 117696000
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 33300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 6618600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 194230500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 133057300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 162992000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 5828400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 165575000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 143696000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 169219900
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 1112600
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 754800
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 455700
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 787200
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 53885500
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 53749200
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 53767900
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 52677300
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 59415000
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 43900
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 117569600
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 50100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 5915400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 176684300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 135288800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 164474900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6250400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 165777800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 133548700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 162348000
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 828100
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 428000
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 440200
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 638600
SelectionSort Algorithm, Random Uniform Data, N = 5000, T[ns] = 66332600
SelectionSort Algorithm, Ascending Data, N = 5000, T[ns] = 65154900
SelectionSort Algorithm, Descending Data, N = 5000, T[ns] = 66969200
SelectionSort Algorithm, Constant Data, N = 5000, T[ns] = 65532600
InsertionSort Algorithm, Random Uniform Data, N = 5000, T[ns] = 71975400
InsertionSort Algorithm, Ascending Data, N = 5000, T[ns] = 31300
InsertionSort Algorithm, Descending Data, N = 5000, T[ns] = 145596000
InsertionSort Algorithm, Constant Data, N = 5000, T[ns] = 31800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 5000, T[ns] = 7237500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 5000, T[ns] = 205459100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 5000, T[ns] = 167516800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 5000, T[ns] = 203402300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 5000, T[ns] = 9256800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 5000, T[ns] = 214125200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 5000, T[ns] = 155140500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 5000, T[ns] = 201199500
std::sort Algorithm, Random Uniform Data, N = 5000, T[ns] = 937900
std::sort Algorithm, Ascending Data, N = 5000, T[ns] = 583300
std::sort Algorithm, Descending Data, N = 5000, T[ns] = 458600
std::sort Algorithm, Constant Data, N = 5000, T[ns] = 950700
SelectionSort Algorithm, Random Uniform Data, N = 5000, T[ns] = 65779300
SelectionSort Algorithm, Ascending Data, N = 5000, T[ns] = 65225300
SelectionSort Algorithm, Descending Data, N = 5000, T[ns] = 66832300
SelectionSort Algorithm, Constant Data, N = 5000, T[ns] = 65148600
InsertionSort Algorithm, Random Uniform Data, N = 5000, T[ns] = 71868000
InsertionSort Algorithm, Ascending Data, N = 5000, T[ns] = 33000
InsertionSort Algorithm, Descending Data, N = 5000, T[ns] = 145286900
InsertionSort Algorithm, Constant Data, N = 5000, T[ns] = 33200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 5000, T[ns] = 9374700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 5000, T[ns] = 211634800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 5000, T[ns] = 150119800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 5000, T[ns] = 207277900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 5000, T[ns] = 7597700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 5000, T[ns] = 213269300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 5000, T[ns] = 149835600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 5000, T[ns] = 227469500
std::sort Algorithm, Random Uniform Data, N = 5000, T[ns] = 1082700
std::sort Algorithm, Ascending Data, N = 5000, T[ns] = 574700
std::sort Algorithm, Descending Data, N = 5000, T[ns] = 449700
std::sort Algorithm, Constant Data, N = 5000, T[ns] = 652800
SelectionSort Algorithm, Random Uniform Data, N = 5000, T[ns] = 67189000
SelectionSort Algorithm, Ascending Data, N = 5000, T[ns] = 65671800
SelectionSort Algorithm, Descending Data, N = 5000, T[ns] = 70618900
SelectionSort Algorithm, Constant Data, N = 5000, T[ns] = 65408500
InsertionSort Algorithm, Random Uniform Data, N = 5000, T[ns] = 73735600
InsertionSort Algorithm, Ascending Data, N = 5000, T[ns] = 52900
InsertionSort Algorithm, Descending Data, N = 5000, T[ns] = 144420900
InsertionSort Algorithm, Constant Data, N = 5000, T[ns] = 40100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 5000, T[ns] = 7883700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 5000, T[ns] = 225293000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 5000, T[ns] = 154808200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 5000, T[ns] = 220056800
